cte_N10_dt01_wd100	steering_N10_dt01_wd100	epsi_N10_dt01_wd100	acc_N10_dt01_wd100	cost_N10_dt01_wd100		cte_N10_dt005_wd500	steering_N10_dt005_wd500	epsi_N10_dt005_wd500	acc_N10_dt005_wd500	cost_N10_dt005_wd500		cte_N10_dt01_wd500	steering_N10_dt01_wd500	epsi_N10_dt01_wd500	acc_N10_dt01_wd500	cost_N10_dt01_wd500		cte_N7_dt01_wd100	steering_N7_dt01_wd100	epsi_N7_dt01_wd100	acc_N7_dt01_wd100	cost_N7_dt01_wd100		cte_N8_dt005_wd500	steering_N8_dt005_wd500	epsi_N8_dt005_wd500	acc_N8_dt005_wd500	cost_N8_dt005_wd500		cte_N10_dt005_wd500_ad	steering_N10_dt005_wd500_ad	epsi_N10_dt005_wd500_ad	acc_N10_dt005_wd500_ad	cost_N10_dt005_wd500_ad
0.744287	-0.00134974	-0.00214534	1	29296.5		0.744287	-4.14E-06	-0.00214534	1	30017.8		0.744287	-2.84E-04	-0.00214534	1	29296.5		0.744287	-0.00059011	-0.00214534	1	20620.7		0.744287	-2.80E-06	-0.00214534	1	24057.8		0.744287	-9.59E-05	-0.00214534	1	29539.8
0.744287	-0.00816399	-0.00214534	1	27786.2		0.744287	-0.00245945	-0.00214534	1	25753.2		0.744287	-0.00750241	-0.00214534	1	25526.1		0.744287	-0.00145822	-0.00214534	1	20214		0.744287	-0.000559284	-0.00214534	1	22175.1		0.744287	-0.00214539	-0.00214534	1	25854.7
0.744287	-0.0252625	-0.00214534	1	24648.8		0.744292	-0.00557665	-0.00214536	1	23155.9		0.74431	-0.0101079	-0.00220547	1	24574.2		0.744287	-0.00936698	-0.00214534	1	17973.8		0.744287	-0.00231007	-0.00214534	1	19589.1		0.744324	-0.0030077	-0.00206685	1	24884
0.744335	-0.0173501	-0.0025128	1	26216.1		0.744338	-0.000237132	0.000316815	1	28357.2		0.744352	-0.00233099	-0.00148467	1	27527.6		0.744338	-0.0152692	-0.00197968	1	16013.6		0.744331	-0.000398488	-0.00172464	1	22421.1		0.744473	-0.000837754	-0.00283479	1	27842.2
0.744194	-0.0108702	-0.00325385	1	27424.9		0.744238	-0.000276928	0.000420515	1	28189.6		0.744245	-0.00157162	-0.00150944	1	28008.1		0.744337	-0.00279567	-0.00236664	1	19709.5		0.744468	-0.00046258	-0.00209683	1	22374.4		0.744634	-0.000638073	-0.00300069	1	28256.5
0.744146	-0.0102292	-0.00315203	1	27558.8		0.74423	-0.000664726	-7.45E-05	1	27493.1		0.744389	-0.0032158	-0.00167898	1	27144.8		0.744264	-0.00331433	-0.00255346	1	19649		0.744663	-0.000532755	-0.0023311	1	22271.2		0.745043	-0.00120672	-0.00326438	1	27368.1
0.744229	-0.0157907	-0.00335909	1	26662.4		0.744333	-0.00154681	-0.000629895	1	26311		0.744759	-0.00612729	-0.00229013	1	26013		0.744469	-0.00483986	-0.00272044	1	19251.4		0.74495	-0.000894031	-0.0025355	1	21615.3		0.745569	-0.00200673	-0.00344491	1	26382.2
0.744451	-0.0226706	-0.00359213	1	25413.2		0.744477	-0.00283919	-0.00125382	1	25086.8		0.74509	-0.00907948	-0.00276831	1	25036.3		0.744838	-0.00763786	-0.00302157	1	18593.1		0.745631	-0.00169206	-0.00327264	1	20637.5		0.746657	-0.0036243	-0.00420864	1	24994.5
0.744457	-0.028341	-0.00369577	1	24120.1		0.745027	-0.00515984	-0.00223136	1	23461.5		0.745745	-0.014247	-0.00344972	1	23521.1		0.745306	-0.011158	-0.00350742	1	17807.6		0.746495	-0.00258855	-0.00390219	1	19773.1		0.748113	-0.00570502	-0.00505285	1	23593
0.743758	-0.0340732	-0.00341093	1	22437.5		0.745846	-0.00740363	-0.00310016	1	22157.8		0.746505	-0.0193507	-0.00403641	1	22036		0.745937	-0.0148491	-0.00399108	1	16890.3		0.747943	-0.00407162	-0.00480259	1	18632		0.750639	-0.00886311	-0.00619007	1	21867.2
0.742139	-0.0372384	-0.00268033	1	20962.5		0.747228	-0.0103226	-0.00416131	1	20699		0.747283	-0.0247692	-0.00444628	1	20377.6		0.746477	-0.0176993	-0.00435363	1	16008		0.750145	-0.00598749	-0.00587917	1	17426		0.754299	-0.012445	-0.00740957	1	20222.5
0.738273	-0.0392274	-0.00109534	1	19362.2		0.749208	-0.0133128	-0.0052082	1	19309.3		0.747527	-0.0284476	-0.00441535	1	19000.5		0.747053	-0.0204573	-0.00461748	1	14962.7		0.752773	-0.00779639	-0.00689347	1	16434.8		0.758401	-0.015712	-0.00839766	1	18854.8
0.7325	-0.0396053	0.000916644	1	17912.4		0.751808	-0.0161422	-0.00613912	1	18030		0.746649	-0.0317055	-0.0037077	1	17488.5		0.747513	-0.022362	-0.004681	1	13966.6		0.756828	-0.0100738	-0.00809812	1	15329.5		0.76321	-0.0186083	-0.00915322	1	17677.1
0.666582	-0.043667	-0.00404908	1	16897.5		0.698449	-0.0222975	-0.0141128	1	16926		0.689877	-0.0370163	-0.00988433	1	16237.8		0.747636	-0.0234844	-0.00452013	1	13150.9		0.762078	-0.0124055	-0.00929787	1	14263.9		0.713142	-0.0257359	-0.01699	1	16452.8
0.654884	-0.0365001	0.00189809	1	14695.1		0.708508	-0.0242205	-0.014015	1	15504.6		0.692151	-0.0362868	-0.00739652	1	14996.8		0.747298	-0.0243267	-0.00407226	1	12323.2		0.713309	-0.0180447	-0.0174054	1	13231.2		0.730945	-0.0290347	-0.0166273	1	14814.8
0.639122	-0.0324528	0.00685991	1	13436.1		0.718388	-0.0260063	-0.0138196	1	14420.2		0.690692	-0.0356909	-0.00424287	1	13761.5		0.692316	-0.0315188	-0.0106682	1	11382.5		0.725491	-0.0191802	-0.0179382	1	12432.3		0.742875	-0.03007	-0.0149587	1	13732.4
0.619568	-0.0275341	0.0111206	1	12521.7		0.728639	-0.026926	-0.0122873	1	13175.5		0.684102	-0.0332625	-0.00010452	1	12576.3		0.697615	-0.0290603	-0.00917411	1	10409.5		0.740518	-0.0212846	-0.0183815	1	11565.1		0.753964	-0.0308014	-0.0125121	1	12540.8
0.590881	-0.0224269	0.0154671	1	11386.8		0.736181	-0.0269028	-0.0101547	1	12159.4		0.673151	-0.0306381	0.00380723	1	11682.8		0.699987	-0.0283934	-0.00706188	1	9724.07		0.755991	-0.0217537	-0.017397	1	10687.8		0.760558	-0.0307223	-0.00982547	1	11560.6
0.56019	-0.0188669	0.0186582	1	10417.9		0.741514	-0.0270729	-0.00821549	1	11198.6		0.654136	-0.027075	0.00828017	1	10600.4		0.700065	-0.0268754	-0.00494424	1	9082.64		0.771169	-0.0227346	-0.0166017	1	9870.7		0.763151	-0.0294215	-0.00580477	1	10506.4
0.519626	-0.014692	0.0213764	1	9445.6		0.744227	-0.0263937	-0.00566805	1	10293.8		0.631418	-0.0240853	0.012002	1	9699.96		0.697603	-0.0258828	-0.00239672	1	8309.91		0.783513	-0.0230994	-0.0152812	1	9203.7		0.760278	-0.0275246	-0.00195872	1	9639.83
0.479953	-0.0125188	0.022975	1	8641.39		0.743112	-0.0255178	-0.00268018	1	9320.35		0.603053	-0.0208495	0.0153252	1	8883.92		0.692198	-0.0241913	0.00012565	1	7693.64		0.796404	-0.0226932	-0.0133143	1	8465.25		0.750549	-0.0255471	0.00226279	1	8710.4
0.431282	-0.00999634	0.0237996	1	7773.87		0.738023	-0.0244519	6.88E-05	1	8520.74		0.569455	-0.0164996	0.0181428	1	8106.58		0.684943	-0.0231545	0.00222956	1	7145.72		0.806978	-0.022637	-0.0113623	1	7768.92		0.73369	-0.02327	0.00622794	1	7842.33
0.386775	-0.00916603	0.023778	1	7063.8		0.726828	-0.0229066	0.00322739	1	7664.21		0.52502	-0.0153759	0.0206798	1	7275.86		0.673423	-0.021607	0.00452814	1	6540.17		0.814096	-0.0222577	-0.00953171	1	7203.57		0.712929	-0.0209675	0.00941733	1	7128.21
